State,Value,Timestamp,Datetime,Formatted Date
CHANDIGARH,183,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
HARYANA,6632,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
HIMACHAL,1518,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
J & K,2850,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
PUNJAB,6100,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
RAJASTHAN,12658,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
UTTARAKHAND,2314,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
UTTAR-PRADESH,17750,1739287828.8241465,2025-02-11 21:00:28.824147,2025-02-11 21:00:28
CHANDIGARH,176,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
HARYANA,6713,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
HIMACHAL,1546,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
J & K,2840,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
PUNJAB,5982,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
RAJASTHAN,12388,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
UTTARAKHAND,2304,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
UTTAR-PRADESH,17224,1739288728.8281226,2025-02-11 21:15:28.828123,2025-02-11 21:15:28
CHANDIGARH,168,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
HARYANA,6689,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
HIMACHAL,1475,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
J & K,2799,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
PUNJAB,5801,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
RAJASTHAN,12160,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
UTTARAKHAND,2242,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
UTTAR-PRADESH,16777,1739289680.5943928,2025-02-11 21:31:20.594393,2025-02-11 21:31:20
CHANDIGARH,158,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
HARYANA,6905,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
HIMACHAL,1459,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
J & K,2762,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
PUNJAB,5606,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
RAJASTHAN,11883,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
UTTARAKHAND,2195,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
UTTAR-PRADESH,16313,1739290529.8981526,2025-02-11 21:45:29.898153,2025-02-11 21:45:29
CHANDIGARH,156,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
HARYANA,6820,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
HIMACHAL,1406,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
J & K,2688,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
PUNJAB,5452,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
RAJASTHAN,11626,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
UTTARAKHAND,2156,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
UTTAR-PRADESH,16024,1739291430.4011211,2025-02-11 22:00:30.401121,2025-02-11 22:00:30
CHANDIGARH,149,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
HARYANA,6633,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
HIMACHAL,1356,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
J & K,2731,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
PUNJAB,5454,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
RAJASTHAN,11887,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
UTTARAKHAND,2106,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
UTTAR-PRADESH,15530,1739292330.1966724,2025-02-11 22:15:30.196672,2025-02-11 22:15:30
CHANDIGARH,142,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
HARYANA,6594,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
HIMACHAL,1283,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
J & K,2686,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
PUNJAB,5335,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
RAJASTHAN,12147,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
UTTARAKHAND,2072,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
UTTAR-PRADESH,15264,1739293230.7922544,2025-02-11 22:30:30.792254,2025-02-11 22:30:30
CHANDIGARH,136,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
HARYANA,6490,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
HIMACHAL,1236,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
J & K,2631,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
PUNJAB,5257,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
RAJASTHAN,12014,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
UTTARAKHAND,2032,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
